number,customer,description,price,country,url_addr,deadline
2019-726879,Департамент финансов и тыла МВД РБ,закупка услуг продления прав использования программного обеспечения репликации данных в базах Oracle,0,BLR,http://www.icetrade.by/tenders/all/view/726879,2019-07-16
2019-726878,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Замена лифтов в жилом доме по ул. Варвашени, 13/3 в г. Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство Заводского района г. Минска», КС221-05/192",60 000,BLR,http://www.icetrade.by/tenders/all/view/726878,2019-07-15
2019-726877,Отдел по образованию Пружанского РИК,Закупка продуктов питания,10 000,BLR,http://www.icetrade.by/tenders/all/view/726877,2019-07-16
2019-726876,Департамент финансов и тыла МВД РБ,закупка услуг по технической поддержке отдельных информационных систем Министерства внутренних дел Республики Беларусь,57 000,BLR,http://www.icetrade.by/tenders/all/view/726876,2019-07-11
2019-726875,ГХУ УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ БЕЛАРУСЬ,Закупка работ на изготовление (восстановление) и установку исторических скульптур из силумина,125 000,BLR,http://www.icetrade.by/tenders/all/view/726875,2019-07-17
2019-726874,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Замена лифтов в жилом доме по пер. Охотский, 14 в г. Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство Заводского района г. Минска», КС222-05/192",24 000,BLR,http://www.icetrade.by/tenders/all/view/726874,2019-07-15
2019-726873,"Филиал РУП ""Витебскэнерго"" Белорусская ГРЭC",Закупка электротехнического оборудования (электросчётчики) для объекта строительства «40-квартирный жилой дом по ул. Ленина в г.п. Ореховск Оршанского района»,0,BLR,http://www.icetrade.by/tenders/all/view/726873,2019-07-05
2019-726872,Управление образования Гомельского городского исполнительного комитета,Изготовление и установка окон ПВХ,0,BLR,http://www.icetrade.by/tenders/all/view/726872,2019-07-04
2019-726871,Войсковая часть 01313,закупка медиаконвертора и IP удлинителя,11 580,BLR,http://www.icetrade.by/tenders/all/view/726871,2019-07-11
2019-726870,"ЧУКП ""Жилкомхоз""",Выбор проектной организации,5 000,BLR,http://www.icetrade.by/tenders/all/view/726870,2019-07-12
2019-726869,"ТЕЛЕКОМПАНИЯ ""ВОЕН ТВ""",закупка профессиональной видеокамеры (комплект),0,BLR,http://www.icetrade.by/tenders/all/view/726869,2019-07-17
2019-726868,Гродненская региональная таможня,"Обновление дорожной разметки на асфальтобетонном покрытии РПТО ""Лоша""",1 310,BLR,http://www.icetrade.by/tenders/all/view/726868,2019-07-04
2019-726867,Войсковая часть 01313,закупка анализаторов и контрольно испытательного комплекта,168 107,BLR,http://www.icetrade.by/tenders/all/view/726867,2019-07-16
2019-726866,"ОАО ""МТЗ""","закупка систем управления электронных комплексных, блоков электронных",2 531 620,BLR,http://www.icetrade.by/tenders/all/view/726866,2019-07-04
2019-726865,"Филиал РУП ""Витебскэнерго"" Белорусская ГРЭC","Закупка электротехнического оборудования (шкафы, щиты) для объекта строительства «40-квартирный жилой дом по ул. Ленина в г.п. Ореховск Оршанского района»",0,BLR,http://www.icetrade.by/tenders/all/view/726865,2019-07-05
2019-726864,Отдел образования Берестовицкого райисполкома,Закупка пароконвектоматов,13 000,BLR,http://www.icetrade.by/tenders/all/view/726864,2019-07-11
2019-726862,"ОАО ""Стройтрест №7""",Закупка №204 - Музей - изделия из гранита,150 988,BLR,http://www.icetrade.by/tenders/all/view/726862,2019-07-08
2019-726861,"Учреждение ""Гродненское областное управление МЧС""",закупка топлива древесного (дров),0,BLR,http://www.icetrade.by/tenders/all/view/726861,2019-07-08
2019-726860,БГТУ,Выбор подрядной организации на выполнение работ по объекту  «Замена дверных блоков в  общежитии № 2 по адресу г. Минск ул. Ульяновская 33»,18 511,BLR,http://www.icetrade.by/tenders/all/view/726860,2019-07-04
2019-726859,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение работ на объекте строительства: «Замена лифтов в жилом доме по ул. Красина, 29 в  г. Минске» в интересах  коммунального унитарного предприятия «Жилищное коммунальное хозяйство Заводского района г. Минска», КС224-05/192",60 000,BLR,http://www.icetrade.by/tenders/all/view/726859,2019-07-15
2019-726858,"Гродненская областная СДЮШОР профсоюзов ""Альянс""",закупка костюмов шпажных,800,BLR,http://www.icetrade.by/tenders/all/view/726858,2019-07-11
2019-726857,Войсковая часть 01313,закупка оптического рефлектометра,37 036.90,BLR,http://www.icetrade.by/tenders/all/view/726857,2019-07-11
2019-726856,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Замена лифтов в жилом доме № 51 по ул. Горецкого в г. Минске» (6 кабин) в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство № 1 Фрунзенского района г. Минска»,КС358-06-161",132 000,BLR,http://www.icetrade.by/tenders/all/view/726856,2019-07-31
2019-726855,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",закупка кислорода жидкого ГОСТ 6331-78,163 305,BLR,http://www.icetrade.by/tenders/all/view/726855,2019-07-01
2019-726854,"ГО ""Брестмелиоводхоз""",Реконструкция (2 объекта) мелиоративных систем в Брестской области,1 113 180.38,BLR,http://www.icetrade.by/tenders/all/view/726854,2019-07-16
2019-726853,"Государственное предприятие ""НПЦ многофункциональных беспилотных комплексов"" Национальной академии наук Беларуси",Выбор проектной организации для выполнения проектно-изыскательских работ по объекту « Внедрение в производство оборудования по изготовлению крупногабаритных элементов конструкций летательных аппаратов сложной формы из полимерных композиционных материалов»,45 000,BLR,http://www.icetrade.by/tenders/all/view/726853,2019-07-26
2019-726852,Министерство обороны Республики Беларусь,Топливораздаточные колонки,70 414.53,BLR,http://www.icetrade.by/tenders/all/view/726852,2019-07-07
2019-726851,"Коммунальное жилищное унитарное предприятие ""Мозырский райжилкомхоз""","Выбор организации на поставку, монтаж и пуско-наладку сервера для распределения нагрузки на серверное оборудование",20 000,BLR,http://www.icetrade.by/tenders/all/view/726851,2019-07-26
2019-726850,"АО ""Атомтехэнерго""",Поставка спортивной формы,290 900.43,RUS,http://www.icetrade.by/tenders/all/view/726850,2019-07-04
2019-726849,Быховский райисполком,Бензин АИ-95-К5,12 900,BLR,http://www.icetrade.by/tenders/all/view/726849,2019-07-11
2019-726848,"Государственное предприятие ""Управление капитальным строительством Осиповичского района""",поставка и установка наклонных подьемников,40 000,BLR,http://www.icetrade.by/tenders/all/view/726848,2019-07-11
2019-726847,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",Резинотканевые рукава для электропечей,30 480,BLR,http://www.icetrade.by/tenders/all/view/726847,2019-07-09
2019-726846,"ЗАО ""АТЛАНТ""",вспенивающийся полистирол,3 000 000,BLR,http://www.icetrade.by/tenders/all/view/726846,2019-07-18
2019-726845,Отдел по образованию Кобринского райисполкома,Закупка фруктов,70 900,BLR,http://www.icetrade.by/tenders/all/view/726845,2019-07-11
2019-726844,Гомельская областная СДЮШОР № 1,Закупка спортивного инвентаря,220 000,BLR,http://www.icetrade.by/tenders/all/view/726844,2019-07-17
2019-726843,"РУП ""Брестэнерго""",закупка строительно-монтажных работ по объектам: Лот№1 «Застройка юго-западного микрорайона №5 в г. Бресте (17 очередь строительства)»; Лот №2 «Застройка юго-западного микрорайона №5 в г. Бресте (16 очередь строительства)»; Лот №3 ««Застройка юго-западного микрорайона №5 в г. Бресте (15 очередь строительства)» для Брестского республиканского унитарного предприятия электроэнергетики «Брестэнерго» (филиал Брестские электрические сети),191 440.84,BLR,http://www.icetrade.by/tenders/all/view/726843,2019-07-26
2019-726842,"РУП ""ЛЮБАНСКОЕ ЖКХ""","Закупка металлических оцинкованных контейнеров для ОБЩЕГО сбора отходов емкостью 1,1 куб.м. типа «евроконтейнер», новый",25 000,BLR,http://www.icetrade.by/tenders/all/view/726842,2019-07-11
2019-726841,Управление по образованию администрации Советского района г. Минска,Закупка технологического оборудования,103 950,BLR,http://www.icetrade.by/tenders/all/view/726841,2019-07-11
2019-726840,"РУП ""БЕЛМЕДПРЕПАРАТЫ""","Закупка хим. реактивов, лабораторных принадлежностей, посуды",0,BLR,http://www.icetrade.by/tenders/all/view/726840,2019-07-01
2019-726839,НЕСВИЖСКАЯ ЦРБ,"Закупка систем видеонаблюдения в Несвижской ЦРБ, Сновской амбулатории",0,BLR,http://www.icetrade.by/tenders/all/view/726839,2019-07-11
2019-726838,"ОАО ""МОЖЕЛИТ""",Холодильная машина TRANE CGWH230 с охлаждаемым водой конденсатором,38 596,BLR,http://www.icetrade.by/tenders/all/view/726838,2019-07-02
2019-726837,РЕСПУБЛИКАНСКИЙ ГОСПИТАЛЬ МВД,"моющие средства для мойки хирургического инструмента, принадлежностей для анестезии, лабораторной посуды и других подобных предметов",0,BLR,http://www.icetrade.by/tenders/all/view/726837,2019-07-05
2019-726836,Представительство АО «НИАЭП» в Республике Беларусь,№ 13996/1648 Блр1/ОКП-19 «Поставка площадки в комплекте со сборным настилом для здания реактора UJA для сооружения энергоблока № 1 Белорусской АЭС»,2 160 000,BLR,http://www.icetrade.by/tenders/all/view/726836,2019-07-09
2019-726835,в/ч 97069,повторная закупка ноутбуков (лот 2),1 530,BLR,http://www.icetrade.by/tenders/all/view/726835,2019-07-06
2019-726834,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Замена лифтов в жилом доме № 18 корпус 1 по ул. Одинцова в                           г. Минске» (14 кабин) в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство № 1 Фрунзенского района г. Минска»,КС357-06/191",308 000,BLR,http://www.icetrade.by/tenders/all/view/726834,2019-07-31
2019-726833,"УП ""Ганцевичское ПМС""",закупка   автомобиля для перевозки пассажиров (микроавтобуса),63 600,BLR,http://www.icetrade.by/tenders/all/view/726833,2019-07-02
2019-726832,"СП ОАО ""Спартак""","Упаковочный материал из фольги мягкой, термосвариваемой,  без печати,  для завертки кондитерских изделий",609 012,BLR,http://www.icetrade.by/tenders/all/view/726832,2019-07-01
2019-726831,"УП ""Медтехника"" г. Гродно","ГродМТ 167/19-ЭА «Инструментарий стоматологический для учреждений здравоохранения г.Гродно и Гродненской области, для СШ №41 по заявке Государственного предприятия «УКС г.Гродно»",0,BLR,http://www.icetrade.by/tenders/all/view/726831,2019-07-30
2019-726830,Управление Государственного комитета судебных экспертиз Республики Беларусь по г. Минску,Продукты переработки нефти,0,BLR,http://www.icetrade.by/tenders/all/view/726830,2019-07-11
2019-726829,"Учреждение ""Бобруйский районный центр социального обслуживания населения""","Услуги  по  ремонту печей , ремонт электропроводки",1 288.20,BLR,http://www.icetrade.by/tenders/all/view/726829,2019-07-11
2019-726828,Гродненский облисполком,Планшет и ноутбуки,7 900,BLR,http://www.icetrade.by/tenders/all/view/726828,2019-07-04
2019-726827,"ОАО ""Строительный трест №2""",выбор субподрядной организации для выполнения работ по устройству закрытых переходов трубопроводом канализации Д=1200мм под железнодорожными путями методом продавливания L=44м и L=39м на объекте «Группа многоквартирных жилых домов по ул.60 лет Октября в г.Пинске (реконструкция канализационного коллектора)».,0,BLR,http://www.icetrade.by/tenders/all/view/726827,2019-07-04
2019-726826,"Учреждение здравоохранения ""Осиповичская ЦРБ""","закупка мясной продукции ( говядина, свинина, колбаса вареная, сосиски. сардельки.)",27 345,BLR,http://www.icetrade.by/tenders/all/view/726826,2019-07-16
2019-726825,Отдел по образованию Кобринского райисполкома,Закупка молочной продукции,112 170,BLR,http://www.icetrade.by/tenders/all/view/726825,2019-07-16
2019-726824,Лидская ЦРБ,Закупка автомобиля скорой неотложной медицинской помощи класса В,100 000,BLR,http://www.icetrade.by/tenders/all/view/726824,2019-07-16
2019-726823,Новополоцкий государственный политехнический колледж,Закупка стола сварщика,0,BLR,http://www.icetrade.by/tenders/all/view/726823,2019-07-11
2019-726822,"Учреждение ""Гомельская областная клиническая психиатрическая больница""",Мука пшеничная в/с,568,BLR,http://www.icetrade.by/tenders/all/view/726822,2019-07-06
2019-726821,Отдел по образованию Городокского районного исполнительного комитета,"Выбор подрядной организации для выполнения строительно-ремонтных работ по объекту ""Текущий ремонт дорожного покрытия в ГУО ""Езерищенский ясли-сал"" г.п.Езерище",15 000,BLR,http://www.icetrade.by/tenders/all/view/726821,2019-07-11
2019-726820,"Государственное предприятие ""Жилищник Минщины""",Трактор «Беларус – 82.1» либо аналог,38 872,BLR,http://www.icetrade.by/tenders/all/view/726820,2019-07-11
2019-726819,Гродненский облисполком,Видео коммутационное и активное сетевое каналообразующее оборудование,11 000,BLR,http://www.icetrade.by/tenders/all/view/726819,2019-07-04
2019-726818,"ГУ ""БОРИСОВСКОЕ ЭУ ВС""",Технического диагностирования водогрейных котлов и дымовых труб  в зоне ответственности ГУ «Борисовское ЭУ ВС,19 000,BLR,http://www.icetrade.by/tenders/all/view/726818,2019-07-11
2019-726817,"Учреждение ""Центр олимпийского резерва г.Жлобина""","Закупка спортивного инвентаря для отделений волейбола и гандбола учреждения ""Центр олимпийского резерва г. Жлобина""",18 920,BLR,http://www.icetrade.by/tenders/all/view/726817,2019-07-17
2019-726816,"Унитарное городское предприятие ""Трест ""Гродногорстрой""",закупка материалов для выполнения электромонтажных работ,62 510.41,BLR,http://www.icetrade.by/tenders/all/view/726816,2019-07-02
2019-726815,3-я городская клиническая больница имени Е.В. Клумова,Закупка услуг по ремонту МТ на 2019 год,0,BLR,http://www.icetrade.by/tenders/all/view/726815,2019-07-04
2019-726814,"Государственное предприятие ""Белаэронавигация""",закупка погрузчиков вилочных грузоподъемностью 3 тонны,160 000,BLR,http://www.icetrade.by/tenders/all/view/726814,2019-07-25
2019-726813,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",насосный агрегат NP3202.180-456HT в соответствии с ТЗ № 42/536 от 26.06.2019,21 009.04,BLR,http://www.icetrade.by/tenders/all/view/726813,2019-07-03
2019-726812,Сектор культуры Мостовского райисполкома,Поставка торфяных брикетов,18 000,BLR,http://www.icetrade.by/tenders/all/view/726812,2019-07-11
2019-726811,УКС Вооруженных Сил,"Выбор генподрядной организации на выполнение строительно-монтажных работ по объекту «Капитальный ремонт с элементами модернизации здания спортзала в/ч 12147, инв. № 2/235 в в/г № 2 «Южный» г.Осиповичи»",1 107 162,BLR,http://www.icetrade.by/tenders/all/view/726811,2019-07-11
2019-726810,"ОАО ""АГАТ-системы управления"" - управляющая компания холдинга ""Геоинформационные системы управления""",Климатическая камера TH-G-800 или аналог,0,BLR,http://www.icetrade.by/tenders/all/view/726810,2019-07-16
2019-726809,"ОАО ""Белшина""",Антискорчинговый агент PVI,736 584.84,BLR,http://www.icetrade.by/tenders/all/view/726809,2019-07-16
2019-726808,"УП ""Витебское отделение Белорусской железной дороги"", ОМТС",капитальный ремонт платформы железнодорожной,102 109.68,BLR,http://www.icetrade.by/tenders/all/view/726808,2019-07-02
2019-726807,"Филиал ""Минские тепловые сети"" РУП ""МИНСКЭНЕРГО""",Закупка кондиционеров,0,BLR,http://www.icetrade.by/tenders/all/view/726807,2019-07-07
2019-726806,"Учреждение ""Гродненское областное управление МЧС""",услуга по ремонту газовых котлов,7 900,BLR,http://www.icetrade.by/tenders/all/view/726806,2019-07-05
2019-726805,Россонская ЦРБ,"Продукты питания на 2019 год, повторно",0,BLR,http://www.icetrade.by/tenders/all/view/726805,2019-07-16
2019-726804,БрГТУ,Учебное лабораторное оборудование из 2-х лотов,16 500,BLR,http://www.icetrade.by/tenders/all/view/726804,2019-07-11
2019-726803,Мядельская ЦРБ,Реагенты и материалы лабораторные на 3 кв. 2019 г.,0,BLR,http://www.icetrade.by/tenders/all/view/726803,2019-07-16
2019-726802,"ОАО ""Кобринагромаш""",Закупка экструдера вспомогательного для маркерной (мерной) полосы,40 000,BLR,http://www.icetrade.by/tenders/all/view/726802,2019-07-10
2019-726801,Мотыкальский сельисполком,запрос ценовых предложений,35 000,BLR,http://www.icetrade.by/tenders/all/view/726801,2019-07-11
2019-726800,"ЗАО ""БСБ Банк""","Осуществление добровольного медицинского страхования для работников ЗАО ""БСБ Банк""",1,BLR,http://www.icetrade.by/tenders/all/view/726800,2019-07-10
2019-726799,Гомельский государственный аграрно-экономический колледж,Приобретение новых компьютеров ПЭВМ,12 500,BLR,http://www.icetrade.by/tenders/all/view/726799,2019-07-11
2019-726798,"Военное информационное агентство ""Ваяр""",Эфирно-студийный комплекс интернет вещания (комплект),250 000,BLR,http://www.icetrade.by/tenders/all/view/726798,2019-07-16
2019-726797,ГУВД Мингорисполкома г. Минска,Автомобили легковые,102 200,BLR,http://www.icetrade.by/tenders/all/view/726797,2019-07-02
2019-726796,"ОАО ""СТРОЙТРЕСТ №4""",Переговоры по выбору поставщика фиброцементных плит в комплекте с креплением для объекта «Строительство многоквартирных   жилых домов с     инженерно-транспортной инфраструктурой и объектами социально-гарантируемого обслуживания населения  в д.Копище Боровлянского сельсовета Минского района. СОЦ».,214 749.36,BLR,http://www.icetrade.by/tenders/all/view/726796,2019-07-04
2019-726795,"Унитарное предприятие ""Жлобинметаллургстрой""",Рулонный кровельный материал,10 970,BLR,http://www.icetrade.by/tenders/all/view/726795,2019-07-02
2019-726794,Отдел по образованию Кобринского райисполкома,Закупка мясной продукции,106 700,BLR,http://www.icetrade.by/tenders/all/view/726794,2019-07-16
2019-726793,"Коммунальное жилищно-эксплуатационное унитарное предприятие ""Рогачев""",Выбор инженерной организации на оказание услуг по осуществлению технического надзора по объектам:,2 271,BLR,http://www.icetrade.by/tenders/all/view/726793,2019-07-04
2019-726792,"УП ""УКС МИНГОРИСПОЛКОМА""",одежда сцены,0,BLR,http://www.icetrade.by/tenders/all/view/726792,2019-07-15
2019-726791,"ОАО ""Белсолод""",закупка ячменя пивоваренного,2 400 000,BLR,http://www.icetrade.by/tenders/all/view/726791,2019-07-17
2019-726790,БГТУ,"Выполнение строительно-монтажных работ по объекту «Замена деревянных оконных блоков на окна ПВХ в учебном корпусе № 3а по ул. Свердлова, д. 13а в г. Минске»",144 547,BLR,http://www.icetrade.by/tenders/all/view/726790,2019-07-29
2019-726789,Мозырский государственный профессиональный лицей геологии,"Изготовление проектно-сметной документации ""Система видеонаблюдения в здании учебного корпуса УО «Мозырский государственный профессиональный лицей геологии» расположенного по адресу: г.Мозырь, б.Дружбы, д.1.",8 000,BLR,http://www.icetrade.by/tenders/all/view/726789,2019-07-11
2019-726788,"РУП ""Брестэнерго""","Закупка строительно-монтажных работ по объекту (филиал ""Пинские электрические сети"" РУП ""Брестэнерго""",11 057,BLR,http://www.icetrade.by/tenders/all/view/726788,2019-07-15
2019-726787,"ОАО ""Нафтан""",Работы по среднему ремонту модуля газогенератора ГГ55-20г-Н № 201 КГТУ,0,BLR,http://www.icetrade.by/tenders/all/view/726787,2019-07-17
2019-726786,РЦТО МЧС РБ,Программно-аппаратный комплекс сетевой защиты.,32 000,BLR,http://www.icetrade.by/tenders/all/view/726786,2019-07-11
2019-726785,Витебский областной клинический роддом,Услуги ремонта медицинской техники,0,BLR,http://www.icetrade.by/tenders/all/view/726785,2019-07-16
2019-726784,ГХУ УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ БЕЛАРУСЬ,"Замена оконных заполнений в здании по ул.Ф.Скорины,51 в г.Минске",11 191.96,BLR,http://www.icetrade.by/tenders/all/view/726784,2019-07-15
2019-726783,"Государственное предприятие ""Витебский ДСК""","оконные алюминиевые блоки с пределом огнестойкости не менее Е30  для объекта строительства  «Реконструкция здания филиала №200 Витебского областного управления ОАО «Беласрубанк» в г. Витебске по ул. Ленина,10 Б»",46 000,BLR,http://www.icetrade.by/tenders/all/view/726783,2019-07-04
2019-726782,"ОАО ""Стройтрест № 3 Ордена Октябрьской революции""",Закупка лотков водоотводных из полимербетона в комплекте,0,BLR,http://www.icetrade.by/tenders/all/view/726782,2019-07-09
2019-726781,РЦТО МЧС РБ,"Автошина 1200-500х508, модель ИД-П284 или аналог",7 920,BLR,http://www.icetrade.by/tenders/all/view/726781,2019-07-04
2019-726780,Витебский областной клинический роддом,Услуги по ремонту и техническому обслуживанию медицинской техники на 2019 год. (4 лота),0,BLR,http://www.icetrade.by/tenders/all/view/726780,2019-07-16
2019-726779,"Учреждение здравоохранения ""Осиповичская ЦРБ""","закупка рыбы мороженной (минтай, скумбрия)",9 075,BLR,http://www.icetrade.by/tenders/all/view/726779,2019-07-16
2019-726778,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №433/19- Тест-системы и расходные материалы для автоматического иммунологического анализатора Immulite 2000 XPi, производства Siemens, США, реагенты для экспресс-анализатора глюкозы и гликированного гемоглобина CLOVER A1c",0,BLR,http://www.icetrade.by/tenders/all/view/726778,2019-07-17
2019-726777,Централизованная клубная система Мстиславского района,транспортных услуг,0,BLR,http://www.icetrade.by/tenders/all/view/726777,2019-07-11
2019-726776,Управление культуры Мингорисполкома,Работы  по текущему ремонту  наружной лестницы  и внутренних помещений в детских школах искусств г.Минска,40 000,BLR,http://www.icetrade.by/tenders/all/view/726776,2019-07-08
2019-726775,НАЦИОНАЛЬНАЯ БИБЛИОТЕКА БЕЛАРУСИ,"Лицензии на программное обеспечение (ПО) CommuniGate Pro, AS MailShell Plugin",9 695,BLR,http://www.icetrade.by/tenders/all/view/726775,2019-07-11
2019-726774,Отдел образования Вороновского районного исполнительного комитета,"Выполнение строительно-монтажных работ по объекту: ""Текущий ремонт крыши здания государственного учреждения образования ""Погородненская средняя школа""",0,BLR,http://www.icetrade.by/tenders/all/view/726774,2019-07-11
2019-726773,"ОАО ""Слуцкий сахарорафинадный комбинат""",закупка тали электрической канатной,100,BLR,http://www.icetrade.by/tenders/all/view/726773,2019-07-01
2019-726772,Средняя школа №10 г. Борисова,Закупка продуктов питания на 2-е полугодие 2019 года,0,BLR,http://www.icetrade.by/tenders/all/view/726772,2019-07-12
2019-726771,"Учреждение ""Брестская областная ветеринарная лаборатория""",Тест-системы по определению метаболитов нитрофуранов и антибиотиков,0,BLR,http://www.icetrade.by/tenders/all/view/726771,2019-07-16
2019-726770,Гимназия №50 г. Минска,Компьютерный класс (14 компьютеров),15 100,BLR,http://www.icetrade.by/tenders/all/view/726770,2019-07-11
2019-726769,"ОАО ""Гомсельмаш""",закупка цепей,310 000,BLR,http://www.icetrade.by/tenders/all/view/726769,2019-07-01
2019-726768,"Гомельское республиканское унитарное предприятие электроэнергетики ""Гомельэнерго""",Теплотехническое оборудование для объекта капитального строительства,151 150.87,BLR,http://www.icetrade.by/tenders/all/view/726768,2019-07-04
2019-726767,"СООО ""МСВЗ-""АКВАДИВ""",Серийный формовой комплект для выпуска бутылки (чертеж ХХI-B-28-2-350),0,BLR,http://www.icetrade.by/tenders/all/view/726767,2019-07-04
2019-726766,"ОАО ""Первомайский""",Проведение ликвидационного тампонажа 21 водозаборной скважины,21 000,BLR,http://www.icetrade.by/tenders/all/view/726766,2019-07-11
2019-726765,"РУЭСП ""Днепробугводпуть""",Насос центробежный самовсасывающий,7 932,BLR,http://www.icetrade.by/tenders/all/view/726765,2019-07-11
2019-726764,"ОАО ""Молоко"" г. Витебск",Холодильное оборудование для получения ледяной воды холодопроизводительностью не менее 2500 кВт/сут,400 000,BLR,http://www.icetrade.by/tenders/all/view/726764,2019-07-15
2019-726763,"Государственное областное унитарное предприятие ""Управление капитального строительства Гродненского облисполкома""","лот №1 «облучатель  хроматографический», лот №2 «мультиметр цифровой», лот №3 «радиометр энергетической освещенности», лот №4 «газоанализатор воздуха переносной», лот №5 «газоанализатор окиси углерода переносной»,                                                лот №6 «облучатель ртутно – кварцевый» для комплектации объекта: «Строительство административного здания государственного учреждения «Островецкий районный центр гигиены и эпидемиологии» по ул. Володарского в г.п. Островец».",8 101,BLR,http://www.icetrade.by/tenders/all/view/726763,2019-07-10
2019-726762,"Учреждение ""Хоккейный клуб ""Молодечно 2018""",Закупка хоккейного инвентаря,75 500,BLR,http://www.icetrade.by/tenders/all/view/726762,2019-07-11
2019-726761,Докшицкая ЦРБ,Закупка дров топливных и торфобрикета на 2019 год.,13 550,BLR,http://www.icetrade.by/tenders/all/view/726761,2019-07-11
2019-726760,"ОАО ""Могилевский мясокомбинат""",Пищевые добавки,0,BLR,http://www.icetrade.by/tenders/all/view/726760,2019-07-02
2019-726759,"УП ""УКС МИНГОРИСПОЛКОМА""",Изделие из нержавеющей стали,0,BLR,http://www.icetrade.by/tenders/all/view/726759,2019-07-11
2019-726758,РЦТО МЧС РБ,"Шина 1220х400-533, модель И-П184 или аналог",3 360,BLR,http://www.icetrade.by/tenders/all/view/726758,2019-07-04
2019-726757,"ОАО ""Беларуськалий""",закупка запасных частей для рукояти очистного комбайна SL-500S,0,BLR,http://www.icetrade.by/tenders/all/view/726757,2019-07-02
2019-726755,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №432/19 Трубки соединительные; Набор для интраоперационной аспирации; Иглы для локализации патологии молочной железы; Иглы для биопсии,0,BLR,http://www.icetrade.by/tenders/all/view/726755,2019-07-17
2019-726754,"Учреждение здравоохранения ""Витебский городской клинический роддом №2""","выбор генподрядчика на разработку проектно-сметной документации ""Модернизация лечебного газоснабжения""",15 000,BLR,http://www.icetrade.by/tenders/all/view/726754,2019-07-15
